"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"1. Chest Shoulders and Triceps","23 may 2026, 19:36","23 may 2026, 19:50","","7times M O Shoulder Warmup",,"",0,"normal",,25,,,10
"1. Chest Shoulders and Triceps","23 may 2026, 19:36","23 may 2026, 19:50","","7times M O Shoulder Warmup",,"",1,"normal",,22,,,10
"1. Chest Shoulders and Triceps","23 may 2026, 19:36","23 may 2026, 19:50","","Bench Press (Dumbbell)",,"",0,"warmup",20,24,,,
"1. Chest Shoulders and Triceps","23 may 2026, 19:36","23 may 2026, 19:50","","Bench Press (Dumbbell)",,"",1,"normal",30,10,,,8
"1. Chest Shoulders and Triceps","23 may 2026, 19:36","23 may 2026, 19:50","","Bench Press (Dumbbell)",,"",2,"failure",30,9,,,8.5
"Entrenamiento nocturno 🏋️","25 feb 2026, 22:34","25 feb 2026, 22:46","","Decline Push Up",,"",0,"normal",,14,,,10
"Entrenamiento nocturno 🏋️","25 feb 2026, 22:34","25 feb 2026, 22:46","","Decline Push Up",,"",1,"normal",,12,,,10
"Entrenamiento nocturno 🏋️","25 feb 2026, 22:34","25 feb 2026, 22:46","","Scapular Pull Ups",,"",0,"normal",,17,,,
"Entrenamiento nocturno 🏋️","25 feb 2026, 22:34","25 feb 2026, 22:46","","Scapular Pull Ups",,"",1,"normal",,15,,,
"Entrenamiento nocturno 🏋️","19 dic 2025, 10:41","19 dic 2025, 12:01","","Running",,"",0,"normal",,,,4800,
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Rotacion Externa Hombro",,"",0,"normal",3.75,10,,,
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Rotacion Externa Hombro",,"",1,"normal",3.75,7,,,
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Bench Press (Dumbbell)",,"",0,"warmup",20,24,,,
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Bench Press (Dumbbell)",,"",1,"normal",30,13,,,10
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Bench Press (Dumbbell)",,"",2,"failure",30,9,,,10
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Overhead Press (Barbell)",,"",0,"normal",10,17,,,
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Overhead Press (Barbell)",,"",1,"failure",20,9,,,10
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Overhead Press (Barbell)",,"",2,"failure",20,5,,,10
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Skullcrusher (Barbell)",,"",0,"failure",15,6,,,10
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Skullcrusher (Barbell)",,"",1,"failure",15,5,,,10
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Lateral Raise (Dumbbell)",,"",0,"failure",5,27,,,
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Lateral Raise (Dumbbell)",,"",1,"failure",5,26,,,9.5
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Squat (Barbell)",,"",0,"warmup",25,9,,,
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Squat (Barbell)",,"",1,"normal",50,7,,,9.5
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Squat (Barbell)",,"",2,"normal",50,5,,,9.5
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Romanian Deadlift (Barbell)",,"",0,"warmup",40,20,,,
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Romanian Deadlift (Barbell)",,"",1,"normal",60,13,,,
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Romanian Deadlift (Barbell)",,"",2,"normal",60,13,,,
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Standing Calf Raise (Barbell)",,"",0,"failure",60,27,,,
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Standing Calf Raise (Barbell)",,"",1,"failure",60,30,,,
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Sit Up (Weighted)",,"",0,"normal",20,15,,,
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Sit Up (Weighted)",,"",1,"failure",20,22,,,8.5
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Seated Wrist Extension (Barbell)",,"",0,"normal",7.5,13,,,10
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Seated Wrist Extension (Barbell)",,"",1,"normal",7.5,12,,,10
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Behind the Back Bicep Wrist Curl (Barbell)",,"",0,"normal",15,32,,,
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Behind the Back Bicep Wrist Curl (Barbell)",,"",1,"normal",15,30,,,
"2. Back and Biceps","14 dic 2025, 17:59","14 dic 2025, 18:36","","Bicep Curl (Barbell)",,"",0,"failure",20,9,,,10
"2. Back and Biceps","14 dic 2025, 17:59","14 dic 2025, 18:36","","Bicep Curl (Barbell)",,"",1,"failure",20,6,,,10
"2. Back and Biceps","14 dic 2025, 17:59","14 dic 2025, 18:36","","Bicep Curl (Barbell)",,"",2,"dropset",10,6,,,10
"2. Back and Biceps","14 dic 2025, 17:59","14 dic 2025, 18:36","","Bent Over Row (Barbell)",,"",0,"failure",40,19,,,9.5
"2. Back and Biceps","14 dic 2025, 17:59","14 dic 2025, 18:36","","Bent Over Row (Barbell)",,"",1,"failure",40,16,,,9.5
"2. Back and Biceps","14 dic 2025, 17:59","14 dic 2025, 18:36","","Bent Over Row (Barbell)",,"",2,"dropset",20,20,,,10
"2. Back and Biceps","14 dic 2025, 17:59","14 dic 2025, 18:36","","Chin Up",,"",0,"failure",,3,,,10
"2. Back and Biceps","14 dic 2025, 17:59","14 dic 2025, 18:36","","Chin Up",,"",1,"failure",,3,,,10
"2. Back and Biceps","14 dic 2025, 17:59","14 dic 2025, 18:36","","Shrug (Barbell)",,"",0,"failure",50,22,,,10
"2. Back and Biceps","14 dic 2025, 17:59","14 dic 2025, 18:36","","Shrug (Barbell)",,"",1,"failure",60,20,,,10
"2. Back and Biceps","14 dic 2025, 17:59","14 dic 2025, 18:36","","Lateral Raise (Dumbbell)",,"",0,"failure",5,26,,,9.5
"2. Back and Biceps","14 dic 2025, 17:59","14 dic 2025, 18:36","","Lateral Raise (Dumbbell)",,"",1,"failure",5,25,,,10
"Entrenamiento por la tarde 💪","12 dic 2025, 11:00","12 dic 2025, 12:00","","Running",,"",0,"normal",,,,3600,
"1. Chest Shoulders and Triceps","11 dic 2025, 22:00","11 dic 2025, 22:41","","Rotacion Externa Hombro",,"",0,"normal",2.5,10,,,
"1. Chest Shoulders and Triceps","11 dic 2025, 22:00","11 dic 2025, 22:41","","Rotacion Externa Hombro",,"",1,"normal",2.5,10,,,
"1. Chest Shoulders and Triceps","11 dic 2025, 22:00","11 dic 2025, 22:41","","Bench Press (Dumbbell)",,"",0,"warmup",20,23,,,
"1. Chest Shoulders and Triceps","11 dic 2025, 22:00","11 dic 2025, 22:41","","Bench Press (Dumbbell)",,"",1,"normal",30,12,,,9.5
"1. Chest Shoulders and Triceps","11 dic 2025, 22:00","11 dic 2025, 22:41","","Bench Press (Dumbbell)",,"",2,"failure",30,9,,,10
"1. Chest Shoulders and Triceps","11 dic 2025, 22:00","11 dic 2025, 22:41","","Overhead Press (Barbell)",,"",0,"normal",10,16,,,
"1. Chest Shoulders and Triceps","11 dic 2025, 22:00","11 dic 2025, 22:41","","Overhead Press (Barbell)",,"",1,"failure",20,10,,,9.5
"1. Chest Shoulders and Triceps","11 dic 2025, 22:00","11 dic 2025, 22:41","","Overhead Press (Barbell)",,"",2,"failure",20,7,,,10
"1. Chest Shoulders and Triceps","11 dic 2025, 22:00","11 dic 2025, 22:41","","Skullcrusher (Barbell)",,"",0,"failure",15,11,,,10
"1. Chest Shoulders and Triceps","11 dic 2025, 22:00","11 dic 2025, 22:41","","Skullcrusher (Barbell)",,"",1,"failure",15,6,,,10
"1. Chest Shoulders and Triceps","11 dic 2025, 22:00","11 dic 2025, 22:41","","Lateral Raise (Dumbbell)",,"",0,"failure",5,25,,,8.5
"1. Chest Shoulders and Triceps","11 dic 2025, 22:00","11 dic 2025, 22:41","","Lateral Raise (Dumbbell)",,"",1,"failure",5,22,,,9
"2. Back and Biceps","6 dic 2025, 11:41","6 dic 2025, 12:25","","Bicep Curl (Barbell)",,"",0,"failure",20,8,,,10
"2. Back and Biceps","6 dic 2025, 11:41","6 dic 2025, 12:25","","Bicep Curl (Barbell)",,"",1,"failure",20,5,,,10
"2. Back and Biceps","6 dic 2025, 11:41","6 dic 2025, 12:25","","Bent Over Row (Barbell)",,"",0,"warmup",20,15,,,
"2. Back and Biceps","6 dic 2025, 11:41","6 dic 2025, 12:25","","Bent Over Row (Barbell)",,"",1,"failure",40,19,,,9
"2. Back and Biceps","6 dic 2025, 11:41","6 dic 2025, 12:25","","Bent Over Row (Barbell)",,"",2,"failure",40,15,,,8.5
"2. Back and Biceps","6 dic 2025, 11:41","6 dic 2025, 12:25","","Chin Up",,"",0,"failure",,4,,,10
"2. Back and Biceps","6 dic 2025, 11:41","6 dic 2025, 12:25","","Chin Up",,"",1,"failure",,3,,,10
"2. Back and Biceps","6 dic 2025, 11:41","6 dic 2025, 12:25","","Shrug (Barbell)",,"",0,"failure",50,21,,,9
"2. Back and Biceps","6 dic 2025, 11:41","6 dic 2025, 12:25","","Shrug (Barbell)",,"",1,"failure",60,19,,,9
"2. Back and Biceps","6 dic 2025, 11:41","6 dic 2025, 12:25","","Lateral Raise (Dumbbell)",,"",0,"failure",5,22,,,8.5
"2. Back and Biceps","6 dic 2025, 11:41","6 dic 2025, 12:25","","Lateral Raise (Dumbbell)",,"",1,"failure",5,23,,,9
"1. Chest Shoulders and Triceps","4 dic 2025, 21:30","4 dic 2025, 22:16","","Rotacion Externa Hombro",,"",0,"normal",2.5,9,,,
"1. Chest Shoulders and Triceps","4 dic 2025, 21:30","4 dic 2025, 22:16","","Rotacion Externa Hombro",,"",1,"normal",2.5,9,,,
"1. Chest Shoulders and Triceps","4 dic 2025, 21:30","4 dic 2025, 22:16","","Bench Press (Dumbbell)",,"",0,"warmup",20,22,,,
"1. Chest Shoulders and Triceps","4 dic 2025, 21:30","4 dic 2025, 22:16","","Bench Press (Dumbbell)",,"",1,"normal",30,18,,,10
"1. Chest Shoulders and Triceps","4 dic 2025, 21:30","4 dic 2025, 22:16","","Bench Press (Dumbbell)",,"",2,"failure",30,9,,,10
"1. Chest Shoulders and Triceps","4 dic 2025, 21:30","4 dic 2025, 22:16","","Overhead Press (Barbell)",,"",0,"normal",10,15,,,
"1. Chest Shoulders and Triceps","4 dic 2025, 21:30","4 dic 2025, 22:16","","Overhead Press (Barbell)",,"",1,"failure",20,10,,,10
"1. Chest Shoulders and Triceps","4 dic 2025, 21:30","4 dic 2025, 22:16","","Overhead Press (Barbell)",,"",2,"failure",20,5,,,10
"1. Chest Shoulders and Triceps","4 dic 2025, 21:30","4 dic 2025, 22:16","","Skullcrusher (Barbell)",,"",0,"failure",15,9,,,10
"1. Chest Shoulders and Triceps","4 dic 2025, 21:30","4 dic 2025, 22:16","","Skullcrusher (Barbell)",,"",1,"failure",15,6,,,10
"1. Chest Shoulders and Triceps","4 dic 2025, 21:30","4 dic 2025, 22:16","","Lateral Raise (Dumbbell)",,"",0,"failure",5,29,,,9.5
"1. Chest Shoulders and Triceps","4 dic 2025, 21:30","4 dic 2025, 22:16","","Lateral Raise (Dumbbell)",,"",1,"failure",5,23,,,9
"2. Back and Biceps","28 nov 2025, 16:24","28 nov 2025, 17:03","","Bicep Curl (Barbell)",,"",0,"failure",20,8,,,10
"2. Back and Biceps","28 nov 2025, 16:24","28 nov 2025, 17:03","","Bicep Curl (Barbell)",,"",1,"failure",20,5,,,10
"2. Back and Biceps","28 nov 2025, 16:24","28 nov 2025, 17:03","","Bent Over Row (Barbell)",,"",0,"warmup",20,20,,,
"2. Back and Biceps","28 nov 2025, 16:24","28 nov 2025, 17:03","","Bent Over Row (Barbell)",,"",1,"failure",40,15,,,9.5
"2. Back and Biceps","28 nov 2025, 16:24","28 nov 2025, 17:03","","Bent Over Row (Barbell)",,"",2,"failure",40,10,,,9.5
"2. Back and Biceps","28 nov 2025, 16:24","28 nov 2025, 17:03","","Chin Up",,"",0,"failure",,4,,,9.5
"2. Back and Biceps","28 nov 2025, 16:24","28 nov 2025, 17:03","","Chin Up",,"",1,"failure",,3,,,10
"2. Back and Biceps","28 nov 2025, 16:24","28 nov 2025, 17:03","","Shrug (Barbell)",,"",0,"failure",50,20,,,10
"2. Back and Biceps","28 nov 2025, 16:24","28 nov 2025, 17:03","","Shrug (Barbell)",,"",1,"failure",50,20,,,10
"2. Back and Biceps","28 nov 2025, 16:24","28 nov 2025, 17:03","","Lateral Raise (Dumbbell)",,"",0,"failure",5,24,,,9.5
"2. Back and Biceps","28 nov 2025, 16:24","28 nov 2025, 17:03","","Lateral Raise (Dumbbell)",,"",1,"failure",5,18,,,9.5
"1. Chest Shoulders and Triceps","27 nov 2025, 20:32","27 nov 2025, 21:19","","Rotacion Externa Hombro",,"",0,"normal",2.5,8,,,
"1. Chest Shoulders and Triceps","27 nov 2025, 20:32","27 nov 2025, 21:19","","Rotacion Externa Hombro",,"",1,"normal",2.5,8,,,
"1. Chest Shoulders and Triceps","27 nov 2025, 20:32","27 nov 2025, 21:19","","Bench Press (Dumbbell)",,"",0,"warmup",20,21,,,
"1. Chest Shoulders and Triceps","27 nov 2025, 20:32","27 nov 2025, 21:19","","Bench Press (Dumbbell)",,"",1,"normal",30,14,,,9.5
"1. Chest Shoulders and Triceps","27 nov 2025, 20:32","27 nov 2025, 21:19","","Bench Press (Dumbbell)",,"",2,"normal",30,9,,,10
"1. Chest Shoulders and Triceps","27 nov 2025, 20:32","27 nov 2025, 21:19","","Overhead Press (Barbell)",,"",0,"normal",10,15,,,
"1. Chest Shoulders and Triceps","27 nov 2025, 20:32","27 nov 2025, 21:19","","Overhead Press (Barbell)",,"",1,"failure",20,9,,,10
"1. Chest Shoulders and Triceps","27 nov 2025, 20:32","27 nov 2025, 21:19","","Overhead Press (Barbell)",,"",2,"failure",20,5,,,10
"1. Chest Shoulders and Triceps","27 nov 2025, 20:32","27 nov 2025, 21:19","","Skullcrusher (Barbell)",,"",0,"failure",15,9,,,10
"1. Chest Shoulders and Triceps","27 nov 2025, 20:32","27 nov 2025, 21:19","","Skullcrusher (Barbell)",,"",1,"failure",15,6,,,10
"1. Chest Shoulders and Triceps","27 nov 2025, 20:32","27 nov 2025, 21:19","","Lateral Raise (Dumbbell)",,"",0,"normal",5,22,,,
"1. Chest Shoulders and Triceps","27 nov 2025, 20:32","27 nov 2025, 21:19","","Lateral Raise (Dumbbell)",,"",1,"normal",5,16,,,
"1. Chest Shoulders and Triceps","27 nov 2025, 20:32","27 nov 2025, 21:19","","Lateral Raise (Dumbbell)",,"",2,"normal",5,12,,,10
"3. Legs and Abs","26 nov 2025, 20:46","26 nov 2025, 21:43","","Squat (Barbell)",,"",0,"warmup",25,8,,,
"3. Legs and Abs","26 nov 2025, 20:46","26 nov 2025, 21:43","","Squat (Barbell)",,"",1,"normal",40,10,,,8.5
"3. Legs and Abs","26 nov 2025, 20:46","26 nov 2025, 21:43","","Squat (Barbell)",,"",2,"normal",50,4,,,9.5
"3. Legs and Abs","26 nov 2025, 20:46","26 nov 2025, 21:43","","Romanian Deadlift (Barbell)",,"",0,"warmup",40,20,,,
"3. Legs and Abs","26 nov 2025, 20:46","26 nov 2025, 21:43","","Romanian Deadlift (Barbell)",,"",1,"normal",60,12,,,
"3. Legs and Abs","26 nov 2025, 20:46","26 nov 2025, 21:43","","Romanian Deadlift (Barbell)",,"",2,"normal",60,11,,,
"3. Legs and Abs","26 nov 2025, 20:46","26 nov 2025, 21:43","","Standing Calf Raise (Barbell)",,"",0,"warmup",40,20,,,
"3. Legs and Abs","26 nov 2025, 20:46","26 nov 2025, 21:43","","Standing Calf Raise (Barbell)",,"",1,"failure",50,20,,,
"3. Legs and Abs","26 nov 2025, 20:46","26 nov 2025, 21:43","","Standing Calf Raise (Barbell)",,"",2,"failure",60,27,,,8.5
"3. Legs and Abs","26 nov 2025, 20:46","26 nov 2025, 21:43","","Sit Up (Weighted)",,"",0,"normal",20,10,,,
"3. Legs and Abs","26 nov 2025, 20:46","26 nov 2025, 21:43","","Sit Up (Weighted)",,"",1,"failure",20,10,,,10
"3. Legs and Abs","26 nov 2025, 20:46","26 nov 2025, 21:43","","Seated Wrist Extension (Barbell)",,"",0,"normal",5,19,,,10
"3. Legs and Abs","26 nov 2025, 20:46","26 nov 2025, 21:43","","Seated Wrist Extension (Barbell)",,"",1,"normal",5,12,,,10
"3. Legs and Abs","26 nov 2025, 20:46","26 nov 2025, 21:43","","Seated Palms Up Wrist Curl",,"",0,"normal",10,30,,,
"3. Legs and Abs","26 nov 2025, 20:46","26 nov 2025, 21:43","","Seated Palms Up Wrist Curl",,"",1,"normal",15,28,,,8.5
"2. Back and Biceps","14 nov 2025, 10:29","14 nov 2025, 11:11","","Bicep Curl (Barbell)",,"",0,"normal",20,9,,,10
"2. Back and Biceps","14 nov 2025, 10:29","14 nov 2025, 11:11","","Bicep Curl (Barbell)",,"",1,"failure",20,7,,,10
"2. Back and Biceps","14 nov 2025, 10:29","14 nov 2025, 11:11","","Bent Over Row (Barbell)",,"",0,"warmup",20,20,,,
"2. Back and Biceps","14 nov 2025, 10:29","14 nov 2025, 11:11","","Bent Over Row (Barbell)",,"",1,"failure",40,19,,,9.5
"2. Back and Biceps","14 nov 2025, 10:29","14 nov 2025, 11:11","","Bent Over Row (Barbell)",,"",2,"failure",40,12,,,9.5
"2. Back and Biceps","14 nov 2025, 10:29","14 nov 2025, 11:11","","Chin Up",,"",0,"failure",,3,,,10
"2. Back and Biceps","14 nov 2025, 10:29","14 nov 2025, 11:11","","Chin Up",,"",1,"failure",,2,,,10
"2. Back and Biceps","14 nov 2025, 10:29","14 nov 2025, 11:11","","Shrug (Barbell)",,"",0,"failure",50,20,,,9.5
"2. Back and Biceps","14 nov 2025, 10:29","14 nov 2025, 11:11","","Shrug (Barbell)",,"",1,"failure",50,20,,,10
"2. Back and Biceps","14 nov 2025, 10:29","14 nov 2025, 11:11","","Lateral Raise (Dumbbell)",,"",0,"failure",5,22,,,9.5
"2. Back and Biceps","14 nov 2025, 10:29","14 nov 2025, 11:11","","Lateral Raise (Dumbbell)",,"",1,"failure",5,15,,,10
"1. Chest Shoulders and Triceps","11 nov 2025, 15:03","11 nov 2025, 15:53","","Bench Press (Dumbbell)",,"",0,"normal",20,20,,,
"1. Chest Shoulders and Triceps","11 nov 2025, 15:03","11 nov 2025, 15:53","","Bench Press (Dumbbell)",,"",1,"normal",30,13,,,9.5
"1. Chest Shoulders and Triceps","11 nov 2025, 15:03","11 nov 2025, 15:53","","Bench Press (Dumbbell)",,"",2,"normal",30,12,,,10
"1. Chest Shoulders and Triceps","11 nov 2025, 15:03","11 nov 2025, 15:53","","Overhead Press (Barbell)",,"",0,"normal",10,15,,,
"1. Chest Shoulders and Triceps","11 nov 2025, 15:03","11 nov 2025, 15:53","","Overhead Press (Barbell)",,"",1,"failure",20,8,,,10
"1. Chest Shoulders and Triceps","11 nov 2025, 15:03","11 nov 2025, 15:53","","Overhead Press (Barbell)",,"",2,"failure",20,7,,,10
"1. Chest Shoulders and Triceps","11 nov 2025, 15:03","11 nov 2025, 15:53","","Skullcrusher (Barbell)",,"",0,"normal",10,10,,,
"1. Chest Shoulders and Triceps","11 nov 2025, 15:03","11 nov 2025, 15:53","","Skullcrusher (Barbell)",,"",1,"failure",15,7,,,10
"1. Chest Shoulders and Triceps","11 nov 2025, 15:03","11 nov 2025, 15:53","","Skullcrusher (Barbell)",,"",2,"failure",15,6,,,10
"1. Chest Shoulders and Triceps","11 nov 2025, 15:03","11 nov 2025, 15:53","","Lateral Raise (Dumbbell)",,"",0,"normal",5,20,,,8
"1. Chest Shoulders and Triceps","11 nov 2025, 15:03","11 nov 2025, 15:53","","Lateral Raise (Dumbbell)",,"",1,"normal",5,17,,,10
"1. Chest Shoulders and Triceps","11 nov 2025, 15:03","11 nov 2025, 15:53","","Lateral Raise (Dumbbell)",,"",2,"normal",5,15,,,9
"1. Chest Shoulders and Triceps","11 nov 2025, 15:03","11 nov 2025, 15:53","","Decline Push Up",,"",0,"normal",,8,,,8
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Bench Press (Dumbbell)",,"",0,"normal",20,32,,,7
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Bench Press (Dumbbell)",,"",1,"normal",30,13,,,8.5
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Bench Press (Dumbbell)",,"",2,"normal",30,12,,,9.5
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Bench Press (Dumbbell)",,"",3,"normal",30,10,,,10
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Bench Press (Dumbbell)",,"",4,"normal",30,9,,,10
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Overhead Press (Barbell)",,"",0,"normal",15,15,,,9.5
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Overhead Press (Barbell)",,"",1,"normal",15,10,,,10
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Overhead Press (Barbell)",,"",2,"normal",15,8,,,10
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Overhead Press (Barbell)",,"",3,"normal",15,8,,,10
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Skullcrusher (Barbell)",,"",0,"normal",15,6,,,10
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Skullcrusher (Barbell)",,"",1,"normal",10,14,,,9.5
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Skullcrusher (Barbell)",,"",2,"normal",10,8,,,10
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Skullcrusher (Barbell)",,"",3,"normal",10,8,,,10
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Lateral Raise (Dumbbell)",,"Brazo recto",0,"normal",7.5,19,,,
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Lateral Raise (Dumbbell)",,"Brazo recto",1,"normal",7.5,19,,,
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Lateral Raise (Dumbbell)",,"Brazo recto",2,"normal",5,20,,,8.5
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Lateral Raise (Dumbbell)",,"Brazo recto",3,"normal",5,20,,,8.5
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Lateral Raise (Dumbbell)",,"Brazo recto",4,"normal",5,20,,,
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Lateral Raise (Dumbbell)",,"Brazo recto",5,"normal",5,20,,,
"1. Chest Shoulders and Triceps","23 oct 2025, 16:30","23 oct 2025, 17:43","","Decline Push Up",,"",0,"normal",,4,,,
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Squat (Barbell)",,"",0,"normal",50,4,,,
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Squat (Barbell)",,"",1,"normal",50,7,,,
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Squat (Barbell)",,"",2,"normal",50,7,,,
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Squat (Barbell)",,"",3,"normal",50,4,,,
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Standing Calf Raise (Barbell)",,"Con depresion en los talones",0,"normal",50,26,,,
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Standing Calf Raise (Barbell)",,"Con depresion en los talones",1,"normal",60,30,,,9
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Standing Calf Raise (Barbell)",,"Con depresion en los talones",2,"normal",60,31,,,9
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Standing Calf Raise (Barbell)",,"Con depresion en los talones",3,"failure",60,32,,,8.5
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Sit Up (Weighted)",,"",0,"normal",5,15,,,
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Sit Up (Weighted)",,"",1,"normal",10,20,,,
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Sit Up (Weighted)",,"",2,"normal",10,20,,,
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Sit Up (Weighted)",,"",3,"normal",10,22,,,
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Seated Wrist Extension (Barbell)",,"",0,"normal",5,21,,,8.5
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Seated Wrist Extension (Barbell)",,"",1,"normal",5,21,,,
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Seated Wrist Extension (Barbell)",,"",2,"normal",5,19,,,9.5
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Seated Wrist Extension (Barbell)",,"",0,"normal",5,30,,,
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Seated Wrist Extension (Barbell)",,"",1,"normal",10,20,,,
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Seated Wrist Extension (Barbell)",,"",2,"normal",10,20,,,
"3. Legs and Abs","21 oct 2025, 19:56","21 oct 2025, 21:10","","Seated Wrist Extension (Barbell)",,"",3,"normal",10,23,,,
"1. Chest Shoulders and Triceps","17 oct 2025, 17:38","17 oct 2025, 18:46","","Bench Press (Dumbbell)",,"",0,"normal",20,31,,,
"1. Chest Shoulders and Triceps","17 oct 2025, 17:38","17 oct 2025, 18:46","","Bench Press (Dumbbell)",,"",1,"normal",30,12,,,
"1. Chest Shoulders and Triceps","17 oct 2025, 17:38","17 oct 2025, 18:46","","Bench Press (Dumbbell)",,"",2,"normal",30,12,,,
"1. Chest Shoulders and Triceps","17 oct 2025, 17:38","17 oct 2025, 18:46","","Bench Press (Dumbbell)",,"",3,"normal",30,10,,,
"1. Chest Shoulders and Triceps","17 oct 2025, 17:38","17 oct 2025, 18:46","","Bench Press (Dumbbell)",,"",4,"normal",30,10,,,
"1. Chest Shoulders and Triceps","17 oct 2025, 17:38","17 oct 2025, 18:46","","Overhead Press (Barbell)",,"",0,"normal",15,14,,,
"1. Chest Shoulders and Triceps","17 oct 2025, 17:38","17 oct 2025, 18:46","","Overhead Press (Barbell)",,"",1,"normal",15,12,,,
